rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
452	02e5dda0975c5c35f51c52dc66275f59f9a15c1c3c6d331ff5d417e0bab5e316	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9539	borîjen	borîjen	noun_fem	F	po:noun_fem					pending
453	02e7877fcacf607fa0f2ba80cb4cb52d889c5a1f635c7cbe2117a9b131dd430e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40785	zimanzanî	zimanzanî	noun_fem	F	po:noun_fem					pending
454	02e825f08fc3250a463f191c7cdc52c3fef718264ce6f51ca67d1d99a2e36f5a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9365	bişişand	bişişand	verb	T	po:verb;is:past_stem_transitive_active;st:bişiş;lem:bişişandin					pending
455	02e9c6a473c2fbeb1489043fc40897640c20a56161e536544bcd857433751373	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12071	bêserkirin	bêserkirin	noun_fem	F	po:noun_fem					pending
456	02ea4fe987accffc47e3674139b22c41283a28a7caa09a3e96394550ee14dbff	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4860	besbûnî	besbûnî	noun_fem	F	po:noun_fem					pending
457	02ebad0ccb59d0f7246e909279bd17744e9835f69250032695bb8e1983d33478	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20206	hexane	hexane	adjective	AN	po:adj					pending
458	02ece9a686ecabffcef0b11487d27443efeab325177af16fd81caca79c47f485	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2067	awazvan	awazvan	noun_fem	F	po:noun_fem					pending
459	02eed343afba0c672cf830be527e8541ca8e31daba9eddc785e71147434769d7	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37476	tovik	tovik	noun_fem	F	po:noun_fem					pending
460	02efaa5e0b4e43be6e6a0daa87da8edbd173ceb60a6e73292c5537d1cce39109	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31294	qenckirin	qenckirin	noun_fem	F	po:noun_fem					pending
461	02f1a991cf8aad632f61bce0ac29ecb34c2a3ce56cc78b6f4652babd984c36b0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12430	bêçelengî	bêçelengî	adjective	AN	po:adj					pending
