rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
372	0249ce3f699b7a9adb5e44dbbba0e7c36e669a9ade770955936c893d71154cd1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38133	vesazkirin	vesazkirin	noun_fem	F	po:noun_fem					pending
373	024adbbf2c77cc7fb35a4f7a7ed5aa7c4922c671e13f544dd64211095fb3725d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39170	xeritand	xeritand	verb	T	po:verb;is:past_stem_transitive_active;st:xerit;lem:xeritandin					pending
374	024aef9bd059fb86b967f1b51a999c995e9834d4ff4c48382561e887ba64ce62	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	6055	biferwar	biferwar	adjective	AN	po:adj					pending
375	024ca63a909199c642886506a22222ee94f328dab161ec8c2e5e568b9ee8a731	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	24022	kûçik	kûçik	noun_masc	M	po:noun_masc					pending
376	024d6500050e9fc3cb5c63b39f4f778c649a4fee593adab2a15a32e35ae5d2bf	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10079	bêbêhn	bêbêhn	adjective	AN	po:adj					pending
377	024f429dd350ea520782d9f52bc03f50cc52a74cf5c10c23de2f160b87abb57c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	29640	pihêtkirin	pihêtkirin	noun_fem	F	po:noun_fem					pending
378	02506948cdc8704d7255589435a3d48d20c676bc630af5e3c9affa7974b32b4a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16109	endustrîkirî	endustrîkirî	adjective	AN	po:adj					pending
379	0252c1a90e112a0085176e9fa0873b0c60eda5432c25cf524d6ed006a0c90284	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20178	hewqa	hewqa	adverb	R	po:adv					pending
380	025af6d95fa41c3ceb824ca280ae9eaf5c40e514e9a446bc4605ff5b2195053f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3474	bedbinyatbûn	bedbinyatbûn	noun_fem	F	po:noun_fem					pending
381	025d3c1842e514eae52f2ea8002a94ae34745e76758066c70d0f9fa4e80d1760	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8084	birqonekî	birqonekî	noun_fem	F	po:noun_fem					pending
382	025d911cbed3be298f4da355e9b2494fff6536bc78d25dd184d0b184edfae620	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3494	bedelî	bedelî	noun_fem	F	po:noun_fem					pending
383	025f3b91fdc861b104a58135c7d5e0632c916b13ce71632fdb7c41c3c252bdd5	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39547	xofbûn	xofbûn	noun_fem	F	po:noun_fem					pending
384	0260a82f6fbe65c916cf047faf1990a0a1edfd5115be086d07459578fb2d1220	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43275	şerpezekirin	şerpezekirin	noun_fem	F	po:noun_fem					pending
385	02634de5a74bb5d5325283c0228a0dd663642fbfeef777c03760545e1c9b8c1d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1730	asûdekirî	asûdekirî	adjective	AN	po:adj					pending
386	0265a82b142269786eb0e4f3510d379a0c5e8c1676b5149a71e6db5e3f8c1e7d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41647	çeqelî	çeqelî	noun_fem	F	po:noun_fem					pending
387	0266192866c019fe1b73836f2be6e20bd817cb56af2c5fab6019be87e73ca46b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9088	biznis	biznis	noun_fem	F	po:noun_fem					pending
388	02674f10892f2aefc940a1d623b7435503886164e21252759c8222519c918b7d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43778	şîrdan	şîrdan	noun_fem	F	po:noun_fem					pending
389	026765e6016d8fbcb8d97a39784a3c3af0103424c7ce30aa2a756fb3da182c77	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40290	zahidane	zahidane	adjective	AN	po:adj					pending
390	026a508b62306d0029f623daee3b316e7ac71dcd8dd2629765d5664b3dd3e21e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1898	avhilkirî	avhilkirî	adjective	AN	po:adj					pending
391	026adffc4fe8321ebeaf39745ee808fd60da49442878be85691cfc60ca181604	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32843	reşemeh	reşemeh	noun_fem	F	po:noun_fem					pending
392	026b028f39ee0c06c93f484898732a48e504bccbb25491a0e6b1562d6a282bc1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10142	bêcezayî	bêcezayî	noun_fem	F	po:noun_fem					pending
393	026d17ec714bfac8ab2018046a55d90717271730f59a0fce2051a236f73d8cc0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5149	bezoke	bezoke	adjective	AN	po:adj					pending
