87	13582	5043	14	353	39660
87	13582	12405	6	353	16997
87	13582	12438	38	353	107649
87	13582	14061	13	353	36827
87	13582	14357	13	353	36827
87	13582	16214	7	353	19830
87	13582	18738	6	353	16997
87	13582	18740	11	353	31161
87	13582	18749	6	353	16997
87	13582	18984	29	353	82153
87	13582	21001	21	353	59490
87	13582	23709	36	353	101983
87	18984	27291	5	5	1000000
87	23709	41241	17	32	531250
87	36998	36748	9	9	1000000
88	13582	5043	22	393	55980
88	13582	13711	6	393	15267
88	13582	14357	21	393	53435
88	13582	16214	13	393	33079
88	13582	18738	6	393	15267
88	13582	18746	15	393	38168
88	13582	18749	7	393	17812
88	13582	21001	34	393	86514
88	13582	23709	39	393	99237
88	13582	29171	8	393	20356
88	13582	37196	8	393	20356
88	13582	37529	9	393	22901
88	15415	22875	3	3	1000000
88	18984	27291	12	13	923077
88	20422	17466	3	8	375000
88	20422	27291	5	8	625000
88	23709	36060	3	16	187500
88	36998	36748	8	9	888889
88	41379	36998	5	9	555556
89	13582	5043	19	259	73359
89	13582	12405	3	259	11583
89	13582	14061	8	259	30888
89	13582	14357	8	259	30888
89	13582	16214	3	259	11583
89	13582	17454	3	259	11583
89	13582	18749	4	259	15444
89	13582	21001	19	259	73359
89	13582	23018	3	259	11583
89	13582	23709	10	259	38610
89	13582	37214	4	259	15444
89	21001	9228	4	6	666667
89	21554	657	31	765	40523
89	21554	661	149	765	194771
89	21554	15811	49	765	64052
89	21554	19037	30	765	39216
89	21554	21017	30	765	39216
89	21554	23028	45	765	58824
89	21554	25443	50	765	65359
89	21554	27231	156	765	203922
89	21554	34348	40	765	52288
89	23709	3378	3	36	83333
89	23709	20851	8	36	222222
89	23709	41241	3	36	83333
89	36380	19370	6	8	750000
89	36998	36748	7	7	1000000
89	41379	14163	4	17	235294
89	41379	29446	3	17	176471
107	87	13582	17	22	772727
107	88	13582	15	20	750000
107	171	38828	6	23	260870
107	171	41379	8	23	347826
107	446	36748	73	78	935897
107	617	9429	3	13	230769
107	779	15962	24	67	358209
107	779	23029	26	67	388060
107	779	38962	15	67	223881
107	812	13582	5	38	131579
107	812	15415	4	38	105263
107	815	13582	3	22	136364
107	816	5043	6	1351	4441
107	816	12405	3	1351	2221
107	816	13582	11	1351	8142
107	816	14357	3	1351	2221
107	816	18740	3	1351	2221
107	816	38828	4	1351	2961
107	816	38891	1261	1351	933383
107	816	40083	3	1351	2221
107	816	41379	8	1351	5922
107	993	41379	3	5	600000
107	995	2710	9	13	692308
107	1067	13173	3	52	57692
107	1067	13582	31	52	596154
107	1181	13582	3	4	750000
107	1623	19337	3	5	600000
107	2277	12405	3	19	157895
107	2501	12449	22	45	488889
107	2501	41379	7	45	155556
107	2679	15866	7	58	120690
107	2695	13582	3	37	81081
107	2695	15415	4	37	108108
