998	3	1	2670
1001	3	3	2670
1007	2	2	2490
1015	9	6	3150
1022	8	5	3100
1027	3	1	2670
1031	2	1	2490
1032	69	42	4030
1037	181	148	4450
1038	81	43	4100
1039	4	3	2790
1040	1	1	2190
1044	2	2	2490
1045	1	1	2190
1046	12	10	3270
1047	1	1	2190
1048	448	79	4840
1053	107	49	4220
1054	75	60	4070
1061	304	208	4680
1062	10	5	3190
1064	16856	7398	6420
1066	1	1	2190
1075	64	26	4000
1082	1	1	2190
1087	32	22	3700
1088	57	52	3950
1090	12	12	3270
1092	2	2	2490
1093	10	7	3190
1095	10	6	3190
1096	4	1	2790
1097	13	12	3310
1098	211	145	4520
1099	64	60	4000
1101	41	40	3810
1102	26	13	3610
1103	17	6	3420
1105	4	3	2790
1107	3	3	2670
1109	10	7	3190
1121	64	59	4000
1123	4	4	2790
1126	1	1	2190
1128	2241	1230	5540
1129	17	14	3420
1130	10	6	3190
1132	49	42	3880
1135	10	1	3190
1136	2	2	2490
1137	3	3	2670
1138	382	291	4770
1139	1	1	2190
1141	3	3	2670
1147	1	1	2190
1149	453	404	4850
1150	143	79	4350
1153	1	1	2190
1154	2	1	2490
1155	8	7	3100
1156	12	10	3270
1157	1	1	2190
1159	36	29	3750
1160	6	5	2970
1164	28	15	3640
1170	35	23	3740
1171	9	4	3150
1174	3	3	2670
1177	1	1	2190
1178	124	101	4290
1180	8	8	3100
1181	2	2	2490
1182	1	1	2190
1183	11	7	3230
1185	1	1	2190
1187	2	2	2490
1191	51	35	3900
1193	770	537	5080
1194	18	17	3450
1195	36	33	3750
1196	1	1	2190
1197	1036	652	5210
1200	267	200	4620
1202	1	1	2190
1205	4	4	2790
1206	36	28	3750
1207	4	3	2790
1209	3	2	2670
1221	3	3	2670
1222	5	4	2890
1223	1	1	2190
1236	1	1	2190
1237	1	1	2190
1241	170	118	4420
1243	102	60	4200
1244	2	2	2490
1250	1	1	2190
1265	1	1	2190
1269	15	11	3370
1274	8	7	3100
1281	1	1	2190
1285	5	4	2890
1292	401	401	4800
1293	1	1	2190
1295	110	78	4230
1296	17	14	3420
1297	5	4	2890
1299	5	4	2890
1300	9	6	3150
1302	206	127	4510
1312	1	1	2190
1313	172	96	4430
1317	20	14	3490
1327	12	7	3270
1331	2	2	2490
1334	1	1	2190
1341	57	48	3950
1342	1	1	2190
1343	12	8	3270
1346	1	1	2190
1349	11	11	3230
1351	10	9	3190
1352	1	1	2190
1358	1	1	2190
1364	122	87	4280
1365	24	17	3570
1367	9	7	3150
1370	1	1	2190
1371	6	6	2970
1374	23	23	3550
1378	1	1	2190
1388	1	1	2190
1392	4	4	2790
1393	5	5	2890
1394	2	2	2490
1397	95	63	4170
1398	1	1	2190
1402	1	1	2190
1405	7	7	3040
1406	23	19	3550
1409	2	2	2490
1416	5	4	2890
1417	93	59	4160
1418	35	27	3740
1419	328	211	4710
1421	48	32	3870
1423	3	2	2670
1426	4	4	2790
1427	423	281	4820
1428	897	568	5150
1430	3	3	2670
1431	1	1	2190
1432	9	5	3150
1433	9	8	3150
1434	14	14	3340
1437	253	206	4600
1438	5	5	2890
1443	2	2	2490
1444	1	1	2190
1446	3	3	2670
1447	1	1	2190
1463	13	10	3310
1466	1	1	2190
1472	24	12	3570
1473	4	3	2790
1474	7	4	3040
1476	133	90	4320
1479	2	2	2490
1482	104	77	4210
1483	1433	618	5350
1486	238	153	4570
1487	5	5	2890
1489	2	2	2490
1490	6	2	2970
1492	91	85	4150
1493	2	2	2490
1497	14	13	3340
1498	11	5	3230
1499	5	5	2890
1503	9	9	3150
1505	38	19	3770
1508	89	59	4140
1513	1	1	2190
1518	32	17	3700
1519	14	7	3340
1520	13	13	3310
1526	6	5	2970
1530	2	2	2490
1534	1	1	2190
1535	3	3	2670
1538	3	2	2670
1539	1	1	2190
1540	32	31	3700
1544	8	7	3100
1545	1	1	2190
1548	5	4	2890
1549	360	122	4750
1550	24	15	3570
1553	1	1	2190
1554	25	20	3590
1560	2	2	2490
1565	3	3	2670
1569	3	1	2670
1570	466	244	4860
1575	12	9	3270
1578	6	4	2970
1579	24	24	3570
1580	1	1	2190
1581	5	5	2890
1582	1	1	2190
1583	1	1	2190
1585	1	1	2190
1586	1	1	2190
1587	9	9	3150
1588	4	1	2790
1591	4	3	2790
1594	4	4	2790
1600	1	1	2190
1602	2	2	2490
1603	2	2	2490
1605	3	2	2670
1606	14	12	3340
1609	1	1	2190
1615	9	6	3150
1618	2	2	2490
1619	22	19	3540
1620	1643	1206	5410
1621	14	12	3340
1622	2	2	2490
1626	148	108	4360
1629	21	11	3510
1631	55	52	3930
1633	17	12	3420
1635	15	15	3370
1639	2	2	2490
1640	41	28	3810
1641	13	11	3310
1643	24	8	3570
1645	100	99	4190
1648	2	2	2490
1649	5	5	2890
1655	253	208	4600
1656	421	264	4820
1657	850	593	5120
1659	148	98	4360
1663	1	1	2190
1664	1	1	2190
1666	1	1	2190
1671	31	24	3680
1675	41	30	3810
1681	2	2	2490
1682	50	27	3890
1684	37	33	3760
1686	58	53	3960
1688	2	2	2490
1690	25	20	3590
1691	1	1	2190
1693	1	1	2190
1695	1	1	2190
1696	1	1	2190
1705	284	126	4650
1706	1276	341	5300
1719	10	6	3190
1725	3	3	2670
1726	3	2	2670
1729	5	5	2890
1730	32	17	3700
1731	6	5	2970
1732	2	2	2490
1733	3	3	2670
1734	28	19	3640
1735	107	64	4220
1736	2	2	2490
1738	80	39	4100
1739	705	354	5040
1740	340	340	4720
1741	702	347	5040
1742	345	345	4730
1747	788	465	5090
1748	3516	1613	5740
1749	28	28	3640
1750	2070	1882	5510
1751	13	13	3310
1752	1	1	2190
1756	8	7	3100
1766	244	163	4580
1767	338	217	4720
1768	216	161	4530
1772	16	14	3400
1773	8	7	3100
1774	37	37	3760
1776	2528	1785	5600
1777	872	524	5130
1779	24	22	3570
1780	1	1	2190
1781	25	23	3590
1783	2	1	2490
1786	4	4	2790
1787	2	2	2490
1791	1	1	2190
1796	4	3	2790
1798	1	1	2190
1799	1	1	2190
1804	4	2	2790
1811	20	19	3490
1814	25	21	3590
1816	9	6	3150
1823	1	1	2190
1824	1	1	2190
1825	1	1	2190
1826	1	1	2190
1831	2	2	2490
1832	2	1	2490
1837	1	1	2190
1851	265	126	4620
1852	39	28	3780
1854	1	1	2190
1857	2	2	2490
1858	1	1	2190
1860	3	3	2670
1862	1	1	2190
1867	1	1	2190
1875	12	11	3270
1876	1	1	2190
1892	2	2	2490
1893	8	5	3100
1904	1	1	2190
1915	3	3	2670
1916	1	1	2190
1925	1	1	2190
1929	36	30	3750
1938	5	5	2890
1949	9	3	3150
1956	7	5	3040
1959	1	1	2190
1961	1	1	2190
1974	1818	913	5450
1975	1	1	2190
1977	110	78	4230
1978	417	339	4810
1979	9	7	3150
1981	271	146	4630
1985	9	8	3150
1990	15	11	3370
1991	71	56	4040
1992	1	1	2190
2000	3	3	2670
2001	21	16	3510
2007	201	154	4500
2013	12	10	3270
2018	228	163	4550
2019	208	145	4510
2020	1495	908	5370
2021	862	521	5130
2022	184	151	4460
2023	54	39	3930
2032	2	2	2490
2033	2	2	2490
2036	3	2	2670
2038	1	1	2190
2042	9	4	3150
2043	2	2	2490
2048	176	115	4440
2049	46	42	3860
2050	1	1	2190
2057	6	5	2970
2071	199	155	4490
2072	1582	723	5390
2075	356	233	4740
2084	1	1	2190
2087	2	1	2490
2089	1	1	2190
2090	24	13	3570
2094	37	29	3760
2101	2	2	2490
2102	20	19	3490
2105	12	12	3270
2109	1	1	2190
2110	4	4	2790
2111	1	1	2190
2112	6	6	2970
2114	42	31	3820
2115	24	20	3570
2117	1	1	2190
2119	1	1	2190
