103	809	1355	47310	28641
103	5026	835	47310	17650
103	14318	287	47310	6066
103	17936	319	47310	6743
103	19265	2112	47310	44642
103	20921	280	47310	5918
103	22785	573	47310	12112
103	23617	14355	47310	303424
103	26230	278	47310	5876
103	26253	243	47310	5136
103	27949	243	47310	5136
103	41056	461	47310	9744
104	104	3	35	85714
104	15373	2	35	57143
104	28584	2	35	57143
105	18403	14	64	218750
105	26292	4	64	62500
106	41194	2	10	200000
119	808	2	42	47619
119	5026	5	42	119048
119	18678	2	42	47619
119	36584	3	42	71429
119	38655	3	42	71429
119	38801	2	42	47619
120	3485	9	15	600000
123	18264	3	373	8043
123	37297	3	373	8043
126	41194	2	8	250000
129	37662	8	12	666667
158	2684	9	464	19397
158	13094	7	464	15086
158	14242	5	464	10776
158	17385	6	464	12931
158	18400	61	464	131466
158	19271	11	464	23707
158	19273	26	464	56034
158	26289	5	464	10776
158	33914	10	464	21552
158	35901	6	464	12931
158	36945	12	464	25862
158	37056	6	464	12931
158	37362	11	464	23707
158	38294	24	464	51724
158	41056	6	464	12931
159	5026	7	183	38251
159	12383	2	183	10929
159	13546	28	183	153005
159	14318	2	183	10929
159	14321	2	183	10929
159	14331	2	183	10929
159	14784	2	183	10929
159	21471	5	183	27322
159	23617	10	183	54645
159	36219	3	183	16393
159	36584	12	183	65574
159	38396	3	183	16393
159	38655	14	183	76503
159	38717	6	183	32787
159	38801	3	183	16393
159	41194	10	183	54645
167	158	44	1369	32140
167	5026	19	1369	13879
167	12919	12	1369	8766
167	13546	36	1369	26297
167	14318	36	1369	26297
167	20921	28	1369	20453
167	21471	16	1369	11687
167	23617	58	1369	42367
167	36584	20	1369	14609
167	38655	242	1369	176771
167	38717	17	1369	12418
167	38801	9	1369	6574
167	38805	75	1369	54785
167	39764	12	1369	8766
167	41194	276	1369	201607
169	33902	2	16	125000
169	41194	5	16	312500
190	18403	2	18	111111
201	12383	19	104	182692
201	12385	2	104	19231
201	12386	2	104	19231
201	12396	9	104	86538
201	12399	2	104	19231
201	12416	3	104	28846
201	14321	16	104	153846
201	14322	6	104	57692
201	14333	2	104	19231
201	14412	8	104	76923
201	15373	4	104	38462
201	22212	6	104	57692
201	22234	3	104	28846
224	103	3	22	136364
224	15373	2	22	90909
224	40749	2	22	90909
224	41194	2	22	90909
232	5026	3	20	150000
232	21471	6	20	300000
232	41194	4	20	200000
234	21471	9	15	600000
234	41194	2	15	133333
236	12399	4	22	181818
236	22212	3	22	136364
236	22228	4	22	181818
236	22234	2	22	90909
239	14318	3	15	200000
239	22785	3	15	200000
242	103	8	216	37037
242	1060	3	216	13889
242	1922	3	216	13889
242	13546	14	216	64815
242	14318	3	216	13889
242	18267	5	216	23148
242	19351	3	216	13889
242	20921	3	216	13889
242	21016	5	216	23148
242	23617	20	216	92593
242	24460	4	216	18519
242	27416	14	216	64815
242	33219	4	216	18519
242	41194	9	216	41667
243	1060	41	775	52903
243	13546	25	775	32258
243	23617	29	775	37419
246	246	22	587	37479
246	1060	21	587	35775
246	5026	5	587	8518
246	13546	154	587	262351
246	14318	13	587	22147
246	19351	10	587	17036
246	19672	6	587	10221
246	20921	7	587	11925
246	23617	49	587	83475
246	37034	5	587	8518
246	38655	5	587	8518
246	40732	7	587	11925
246	40769	14	587	23850
246	41194	7	587	11925
263	3485	2	73	27397
263	5026	2	73	27397
263	14318	2	73	27397
263	15373	2	73	27397
263	20921	2	73	27397
263	39516	4	73	54795
263	41194	2	73	27397
283	13546	2	29	68966
283	14318	2	29	68966
283	26364	3	29	103448
283	38717	2	29	68966
283	41194	4	29	137931
289	5026	2	21	95238
289	20921	2	21	95238
289	23617	4	21	190476
289	38801	2	21	95238
289	41194	2	21	95238
308	20921	2	7	285714
310	23617	145	148	979730
320	13140	2	34	58824
320	14318	3	34	88235
320	20921	2	34	58824
320	22785	5	34	147059
320	41194	14	34	411765
321	103	3	190	15789
321	1060	2	190	10526
321	1741	2	190	10526
321	5026	12	190	63158
321	13140	2	190	10526
321	14318	6	190	31579
321	15373	5	190	26316
321	20921	12	190	63158
321	21119	2	190	10526
321	22785	19	190	100000
321	23617	4	190	21053
321	29384	2	190	10526
321	36219	2	190	10526
321	37031	2	190	10526
321	37048	2	190	10526
321	41194	59	190	310526
322	4321	2	165	12121
322	5026	2	165	12121
322	13094	4	165	24242
322	14670	3	165	18182
322	19986	2	165	12121
322	25348	2	165	12121
322	25351	4	165	24242
322	32223	2	165	12121
322	36945	3	165	18182
322	37362	2	165	12121
322	37398	5	165	30303
322	38321	2	165	12121
322	39291	4	165	24242
322	41194	2	165	12121
325	12383	3	8	375000
325	38717	2	8	250000
334	103	8	89	89888
334	1060	2	89	22472
334	5026	4	89	44944
334	14318	3	89	33708
334	14407	5	89	56180
334	15373	2	89	22472
334	16166	2	89	22472
334	21119	2	89	22472
334	21471	6	89	67416
334	23617	3	89	33708
334	25951	2	89	22472
334	37048	2	89	22472
334	40732	2	89	22472
334	40749	5	89	56180
334	41194	11	89	123596
335	41194	4	8	500000
348	986	3	202	14851
348	988	3	202	14851
348	1648	10	202	49505
348	1649	2	202	9901
348	3363	2	202	9901
348	5026	5	202	24752
348	14318	3	202	14851
348	16212	5	202	24752
348	20921	5	202	24752
348	21471	7	202	34653
348	22928	3	202	14851
348	23617	3	202	14851
348	38717	3	202	14851
348	38801	3	202	14851
348	41194	79	202	391089
350	2699	93	333	279279
350	3363	153	333	459459
350	3366	3	333	9009
350	26224	11	333	33033
350	26230	12	333	36036
350	26297	6	333	18018
350	31941	15	333	45045
350	31946	2	333	6006
350	41064	2	333	6006
351	5026	4	99	40404
351	12383	3	99	30303
351	13546	2	99	20202
351	18682	2	99	20202
351	20921	2	99	20202
351	23617	3	99	30303
351	26364	4	99	40404
351	31271	2	99	20202
351	38655	2	99	20202
351	38717	4	99	40404
351	38801	3	99	30303
351	38805	5	99	50505
351	41194	21	99	212121
356	2640	2	12	166667
356	15819	2	12	166667
356	41194	2	12	166667
360	24438	2	4	500000
373	22212	2	8	250000
373	22228	2	8	250000
374	3369	2	127	15748
374	6581	5	127	39370
374	12383	17	127	133858
374	12396	3	127	23622
374	14321	18	127	141732
374	14322	7	127	55118
374	14408	21	127	165354
374	14411	10	127	78740
374	22212	9	127	70866
374	22228	4	127	31496
375	19986	3	3	1000000
376	22785	4	7	571429
378	5026	2	64	31250
378	13526	2	64	31250
378	14318	2	64	31250
378	20921	5	64	78125
378	23617	8	64	125000
378	36206	2	64	31250
378	41194	14	64	218750
379	4243	23	412	55825
379	5026	4	412	9709
379	6667	9	412	21845
379	13819	29	412	70388
379	13911	20	412	48544
379	14318	14	412	33981
379	14657	11	412	26699
379	16629	8	412	19417
379	17951	7	412	16990
379	18013	5	412	12136
379	20921	17	412	41262
379	22785	25	412	60680
379	23617	25	412	60680
379	27485	5	412	12136
379	31162	4	412	9709
384	5026	8	351	22792
384	13819	4	351	11396
384	14318	43	351	122507
384	14351	3	351	8547
384	19109	13	351	37037
384	20921	39	351	111111
384	23127	18	351	51282
384	23617	49	351	139601
384	26364	5	351	14245
384	28749	6	351	17094
384	36206	7	351	19943
384	41194	20	351	56980
388	13546	2	43	46512
388	27565	15	43	348837
388	35773	3	43	69767
406	103	6	349	17192
406	4106	4	349	11461
406	5026	26	349	74499
406	5965	4	349	11461
406	13546	18	349	51576
406	14318	7	349	20057
406	15373	5	349	14327
406	18687	6	349	17192
406	20921	11	349	31519
406	23617	6	349	17192
406	29321	5	349	14327
406	31271	6	349	17192
406	36219	8	349	22923
406	41194	30	349	85960
418	5026	3	42	71429
418	18676	2	42	47619
418	18678	2	42	47619
418	23617	3	42	71429
418	41194	3	42	71429
442	5026	4	541	7394
442	12383	7	541	12939
442	13546	19	541	35120
442	14318	5	541	9242
442	14321	3	541	5545
442	14409	3	541	5545
442	18687	9	541	16636
442	20921	12	541	22181
442	21471	24	541	44362
442	22785	6	541	11091
442	23617	5	541	9242
442	36584	242	541	447320
442	38655	17	541	31423
442	38717	61	541	112754
442	38801	4	541	7394
442	41194	9	541	16636
489	13415	3	209	14354
489	14318	3	209	14354
489	14827	3	209	14354
489	21016	16	209	76555
489	21471	3	209	14354
489	22785	7	209	33493
489	24993	8	209	38278
489	27160	13	209	62201
489	34425	6	209	28708
489	34428	4	209	19139
489	38294	7	209	33493
490	2701	3	259	11583
490	5026	6	259	23166
490	12383	5	259	19305
490	13546	12	259	46332
490	14318	5	259	19305
490	20921	4	259	15444
490	21471	17	259	65637
490	23617	11	259	42471
490	30350	4	259	15444
490	38655	4	259	15444
490	38717	10	259	38610
490	38801	12	259	46332
490	41194	23	259	88803
492	40749	2	12	166667
503	22179	3	29	103448
503	37031	2	29	68966
503	41194	2	29	68966
504	16111	2	22	90909
504	18101	2	22	90909
504	18119	2	22	90909
504	18690	2	22	90909
504	23617	2	22	90909
504	36219	3	22	136364
507	1060	2	24	83333
507	41194	11	24	458333
520	17875	5	15	333333
520	19109	2	15	133333
536	103	317	345	918841
536	22527	7	345	20290
537	103	535	1191	449202
537	21471	2	1191	1679
537	22527	10	1191	8396
537	22528	3	1191	2519
537	27229	2	1191	1679
537	39905	632	1191	530647
537	40732	3	1191	2519
538	14339	5	15	333333
539	1060	7	124	56452
539	5026	5	124	40323
539	14318	10	124	80645
539	14407	2	124	16129
539	20921	4	124	32258
539	21119	2	124	16129
539	23617	6	124	48387
539	27015	2	124	16129
539	37031	2	124	16129
539	38318	2	124	16129
539	38326	2	124	16129
539	41194	28	124	225806
540	103	4	335	11940
540	5026	19	335	56716
540	13140	3	335	8955
540	13546	45	335	134328
540	14318	6	335	17910
540	15373	25	335	74627
540	18684	3	335	8955
540	20921	8	335	23881
540	21119	7	335	20896
540	21471	7	335	20896
540	23617	7	335	20896
540	31271	6	335	17910
540	36219	5	335	14925
540	36584	4	335	11940
540	41194	34	335	101493
543	23617	4	19	210526
543	38717	3	19	157895
543	41194	4	19	210526
548	41194	2	4	500000
551	1974	3	259	11583
551	5026	7	259	27027
551	13989	4	259	15444
551	14657	15	259	57915
551	14713	4	259	15444
551	18200	4	259	15444
551	21547	9	259	34749
551	22713	9	259	34749
551	22785	16	259	61776
551	24167	35	259	135135
551	24993	4	259	15444
551	25398	7	259	27027
551	37031	7	259	27027
551	37048	13	259	50193
553	41194	3	11	272727
556	14318	3	25	120000
556	20859	7	25	280000
556	20921	2	25	80000
556	41194	2	25	80000
599	3935	2	14	142857
599	41194	5	14	357143
600	5026	3	17	176471
600	20921	2	17	117647
600	41194	3	17	176471
601	12383	6	10	600000
613	9409	10	521	19194
613	17089	31	521	59501
613	20270	10	521	19194
613	20282	7	521	13436
613	20283	20	521	38388
613	22939	10	521	19194
613	23610	22	521	42226
613	26766	8	521	15355
613	38876	8	521	15355
613	38877	27	521	51823
614	21471	4	34	117647
614	22702	2	34	58824
614	23617	2	34	58824
614	25967	4	34	117647
614	38655	5	34	147059
614	38717	3	34	88235
614	41194	5	34	147059
615	103	31	201	154229
615	5026	8	201	39801
615	13546	14	201	69652
615	14318	3	201	14925
615	14408	2	201	9950
615	15373	8	201	39801
615	19109	2	201	9950
615	20921	2	201	9950
615	21119	3	201	14925
615	21471	2	201	9950
615	23617	6	201	29851
615	31271	3	201	14925
615	38805	3	201	14925
615	40749	21	201	104478
615	41194	27	201	134328
617	5026	7	155	45161
617	12383	3	155	19355
617	13546	7	155	45161
617	14318	3	155	19355
617	18687	5	155	32258
617	20921	4	155	25806
617	22785	4	155	25806
617	23617	3	155	19355
617	36584	5	155	32258
617	37047	4	155	25806
617	38655	9	155	58065
617	38717	3	155	19355
617	38805	5	155	32258
617	41194	20	155	129032
623	20921	2	12	166667
623	22785	2	12	166667
651	33366	2	16	125000
651	38655	2	16	125000
651	41194	7	16	437500
652	12383	2	143	13986
652	13913	5	143	34965
652	21471	41	143	286713
652	27114	3	143	20979
652	41194	41	143	286713
653	14657	6	398	15075
653	17178	37	398	92965
653	21279	5	398	12563
653	22916	17	398	42714
653	23988	5	398	12563
653	26254	6	398	15075
653	33114	7	398	17588
653	33914	6	398	15075
653	35893	7	398	17588
653	41008	6	398	15075
655	15373	2	61	32787
655	21471	3	61	49180
655	25626	2	61	32787
655	34199	6	61	98361
655	41194	33	61	540984
